school_emis_code,school_name,school_latitude,school_longitude
35210998,GGHS BARKAT MARKET GARDEN TOWN LHR,31.5013383,74.3191977
35210134,GES THEH PANJOO,31.36807887,74.34826543
35220019,GHS AWAN TOWN,31.50786974,74.26091493
35210854,GPS CDG AL-MADINA TOWN,31.57179914,74.43614289
35210237,GPS DHEERKAY LHR CANTT,31.48601837,74.5562528
35210179,GGES MURL MARI LAHORE CANTT,31.63835543,74.44685496
35220457,GMMS MASJID UMER KHATAB FAZAL COLONY,31.54721003,74.26567812
35210439,GPS RASOOL PURA,31.35902268,74.2837407
35210378,GPS DHER PINDI,31.52803986,74.42688189
35220406,GGPS BHUTTO COLONY,31.6371325,74.2876409
35220081,GGHS FOREMAN SHAHALAM MARKET,31.57956145,74.31741114
35220123,GGHS ARRAYIAN,31.33463455,74.23487026
35220328,GGPS JIA KA TIBBA,31.29461438,74.10691766
35210043,GHSS JALLO MORE LAHORE CANTT,31.5954649,74.5036222
35210215,GPS OPAL,31.45318603,74.60413191
35220514,GMMS PARACHA COLONY,31.63286834,74.29756053
35220416,GGPS MUSTFA ABAD SHAHDRA,31.61421559,74.30017359
35220434,GGPS JHUGIAN CHAMRAN,31.36004972,74.14656666
35220439,GGPS MAL LAHORE,31.31354994,74.15918536
35210167,GGES ABUAL KHAIR GHARI SHAHU,31.56336053,74.34406232
35210455,GPS TIBBA KACHHA,31.39531331,74.3255752
35220156,GGES MOHLANWAL KALAN,31.41110301,74.14237537
35210398,GPS BHANGALI,31.49655127,74.48555505
35210284,GPS GANJAY SINDHU,31.62673468,74.44779533
35210874,GGHS CDG BAJA LINE,31.56225161,74.31425158
35210549,GGPS KHAWATEEN MODEL BHAWALPUR HOUSE,31.54605605,74.31361673
35220167,GES MC BASTI AMIN PURA RAIWIND,31.24307983,74.22699389
35220186,GES KARYAL,31.31004544,74.26162433
35210304,GPS TULS PURA,31.58347283,74.46005956
35210422,GPS HASSAN ABAD,31.49413465,74.49688872
