License No,Store Name,Store Address,Town Name,Location
212804,M/s Pak Medical Store,"Opposite : CIA Staff & Jamia Masjid Main Ferozepur Road , Kahna Nau",NISHTAR TOWN,"31.369998,74.366422"
375906,M/s Pakistan Pharmacy,"Younus Chowk, 496-Bilal Block Nishtar Colony, Ferozepur Road, Lahore",NISHTAR TOWN,"31.417918556218776,74.36168877916244"
158ANT92012,M/S PDH Pharmaceutical (Pvt) Ltd,"19-Km, Ferozepur Road, Lahore",NISHTAR TOWN,"31.415011208152105,74.35964098404021"
87ANT92011,M/s Pharmacy Plus,"141/B PCSIR (Staff) College Road, Aslam Centre, Lahore",NISHTAR TOWN,"31.437494,74.291741"
77BNT102011,M/S Phlox Medical Store,"Bagrian Road, Green Town, Lahore",NISHTAR TOWN,"31.4282134022672,74.29906092897909"
369806,M/s Premier Agencies,"Plot No.35, Abadi Yasir Park, Mouza Kot Lakhpat, Tehsil Cantt, Lahore",NISHTAR TOWN,"31.45328190120039,74.33863785525625"
5392002,M/s Al-Madina Medicose,"Shop No. 45, Al-Minar Medicine Market outside Lohari Gate, Lahore.",RAVI TOWN,"31.576344,74.313118"
369006,M/s New Descent Medical Store,"Modern Medicine Market, Near new emergency Gate No.1 LGH Lahore",NISHTAR TOWN,"31.4555723,74.3527563"
319405,M/s Punjab Medical Store,"857-Block No.1 Sector D-II, Green Town, Lahore",NISHTAR TOWN,"31.433662562252866,74.30742484293336"
189BNT102013,M/S Rana Medical Store,"Shop No.3, Ammar Block, Nishter Colony, Ferozepur Road, Lahore",NISHTAR TOWN,"31.42180437660732,74.36235467237029"
275904,M/s Rasheed Medical Store,"Plot NO.506, Block No.2, Sector D-II Azmat Chowk Green Town, Lahore",NISHTAR TOWN,"31.437122,74.30313"
213204,M/s Rashid Medical Store,"Near Chah Rashid, Kahna Nau, District, Lahore",NISHTAR TOWN,"31.368248835993228,74.36423673477664"
439406,M/s Raza Medical Store,"Opp: Hassan Bilal Mosque & Madarasa Dulu Khurd, Main Ferozepur Road, Lahore",NISHTAR TOWN,"31.369240695359093,74.36557093673694"
139ANT92012,M/S Razzak Pharmacy,"490-Block No.3, Sector D-II Township, Lahore",NISHTAR TOWN,"31.435443,74.301063"
332105,M/s Roshni Medical Store,"Sitara Colony, Chungi Amar Sidhu, Old Kamahan Road, Lahore",NISHTAR TOWN,"31.447713064934955,74.35534096667226"
399306,M/s Safdar Medical Store,"Attari Saroba, Ferozepur Road, Nishtar Colony, Lahore",NISHTAR TOWN,"31.430474960345627,74.35693242187443"
161ANT92012,M/S Saif Distributors,"7-Km off, 22 Km Ferozepur Road, Raj Industrial Park, Lahore",NISHTAR TOWN,"31.399352259397904,74.37299093955919"
183BNT102013,M/S Sarim Medical Store,"Bank Stop, Iqbal Chowk, Main Kamahan Road, Near Attari, Lahore",NISHTAR TOWN,"31.437908088485976,74.36298150919717"
100ANT102011,M/s Qadri Medical Store,"House No.451, Block-1 Sector D-II, Green Town, Lahore",NISHTAR TOWN,"31.43162543258036,74.30587733615133"
368206,M/s Rameez Medical and General Store,"Shop No. 2, 643-Block No.3, Sector D-II, Bahar Chowk Green Town, Lahore",NISHTAR TOWN,"31.43561828837456,74.30431895438066"
469207,M/s Rana Medical Store,"Nadeem Chowk Awan Market, Ferozepur Road",NISHTAR TOWN,"31.43468483348144,74.35995387804404"
